run_id,experiment_id,experiment_type,protocol,chain_key,environment,path,tx_kind,outcome,retry_count,error,sender,nonce,gas_limit,calldata_bytes,submitted_at,l1_tx_hash,l1_force_hash,l2_tx_hash,git_commit,harness_version,S1_block_number,S1_block_timestamp,S1_clock_source,S1_confidence,S1_finalized,S2_block_number,S2_block_timestamp,S2_clock_source,S2_confidence,S2_finalized,S3_block_number,S3_block_timestamp,S3_clock_source,S3_confidence,S3_finalized,S4_block_number,S4_block_timestamp,S4_clock_source,S4_confidence,S4_finalized,S5_block_number,S5_block_timestamp,S5_clock_source,S5_confidence,S5_finalized,S6_block_number,S6_block_timestamp,S6_clock_source,S6_confidence,S6_finalized,S7_block_number,S7_block_timestamp,S7_clock_source,S7_confidence,S7_finalized,S8_block_number,S8_block_timestamp,S8_clock_source,S8_confidence,S8_finalized,S9_block_number,S9_block_timestamp,S9_clock_source,S9_confidence,S9_finalized,M_L1,M_L1_mixed_clock,M_L1_resolution_sec,M_L2,M_L2_mixed_clock,M_L2_resolution_sec,M_L3,M_L3_mixed_clock,M_L3_resolution_sec,M_L4,M_L4_mixed_clock,M_L4_resolution_sec,is_complete,M_C1,M_C2,M_C3,M_C3_op_l1_data_fee_wei,M_C3_arb_l1_gas_allocation,total_fee_wei,M_C4,M_C4_numerator_wei,M_U1,inclusion_path,l1_gas_used,l1_gas_price,l2_gas_used,force_gas_used,l1_base_fee_at_submit,param_delayBlocks,param_delayBlocks_source,param_delaySeconds,param_delaySeconds_source,param_futureBlocks,param_futureBlocks_source,param_futureSeconds,param_futureSeconds_source,param_portalVersion,param_portalVersion_source,param_statedForcedBoundSec,param_statedForcedBoundSec_source,param_totalDelayedMessagesRead,param_totalDelayedMessagesRead_source
c1ec48e5-8a40-41b9-a11b-77cddd17f66d,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:07.581Z,,,0x4ab82558f17ef28363e524c76fcfbf273b0de0eda5107d10afbc724affeab3a2,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934747,wall,observed,0,,1788934747,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566105,1788934750,l2_block,observed,0,48566105,1788934750,l2_block,observed,0,,,,,,,,,,,,,,,3,1,2,1,,,21005250000,18550632609,,39555882609,,39555882609,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
52b2eeed-bada-438c-ad41-c0e747282ad7,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:11.822Z,,,0x8c146a4d83fc3b2ef3320e4a8c1379433ae38eadb3157e68c8d3824e73c47afe,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934751,wall,observed,0,,1788934751,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566107,1788934754,l2_block,observed,0,48566107,1788934754,l2_block,observed,0,,,,,,,,,,,,,,,3,1,2,1,,,21005250000,18550632609,,39555882609,,39555882609,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
f72372b2-c62e-440d-bcfe-ade172874824,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:16.057Z,,,0x86aee33df5a79fd27ec26c0143746478e41b07c0de29fb24189b87f40dadb1bf,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934756,wall,observed,0,,1788934756,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566109,1788934758,l2_block,observed,0,48566109,1788934758,l2_block,observed,0,,,,,,,,,,,,,,,2,1,2,1,,,21005250000,18365206130,,39370456130,,39370456130,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
ba0b22f6-722f-4ca1-aa16-3c9cf2d80519,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:18.602Z,,,0x7cb4999eb7bdcc93861285a837f7d519ec483064143029f86dbc74b0375a672b,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934758,wall,observed,0,,1788934758,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566111,1788934762,l2_block,observed,0,48566111,1788934762,l2_block,observed,0,,,,,,,,,,,,,,,4,1,2,1,,,21005250000,18365206130,,39370456130,,39370456130,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
d3e996ac-186c-4b7a-a772-367a2e28899a,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:22.571Z,,,0xf6851814d8fcd2bd26e177ec22b1ec555e77190d9c965e241329b239bf6885b9,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934762,wall,observed,0,,1788934762,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566113,1788934766,l2_block,observed,0,48566113,1788934766,l2_block,observed,0,,,,,,,,,,,,,,,4,1,2,1,,,21005250000,18365206130,,39370456130,,39370456130,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
e0200a4e-1e72-4f44-bf22-91ae32c368d0,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:26.493Z,,,0xabc23af449184c89588b6631d516e6f40ec0e091470491e4e0d26df3b5340fc8,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934766,wall,observed,0,,1788934766,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566115,1788934770,l2_block,observed,0,48566115,1788934770,l2_block,observed,0,,,,,,,,,,,,,,,4,1,2,1,,,21005250000,18000936877,,39006186877,,39006186877,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
59d933f5-d227-469f-b2e7-9a153217a8b4,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:18:22.681Z,,,0x1ef3778509d5e60394e939bb4f56cbf2c5a09b52bfedc2770fed5b946d2d674e,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934702,wall,observed,0,,1788934702,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566083,1788934706,l2_block,observed,0,48566083,1788934706,l2_block,observed,0,,,,,,,,,,,,,,,4,1,2,1,,,21005250000,16859464257,,37864714257,,37864714257,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
75d3e6a3-93ff-4948-b6ac-b050caa719f6,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:30.873Z,,,0x85b12c0a240cc0b7be4e55cef9b8c09ab57edf30cdade37f80fae05659e1bc96,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934770,wall,observed,0,,1788934770,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566117,1788934774,l2_block,observed,0,48566117,1788934774,l2_block,observed,0,,,,,,,,,,,,,,,4,1,2,1,,,21005250000,18000936877,,39006186877,,39006186877,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
f7348501-5324-4fec-8f5d-8dfda18d009d,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:35.083Z,,,0x71fedc5366445c002e5d4e6db12e17d57b3f5def7af8eb388880b7b9a487f4db,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934775,wall,observed,0,,1788934775,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566119,1788934778,l2_block,observed,0,48566119,1788934778,l2_block,observed,0,,,,,,,,,,,,,,,3,1,2,1,,,21005250000,18000936877,,39006186877,,39006186877,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
5aa06986-614f-4775-a5ab-d448ff338243,A-op-sepolia,A,op-stack,op-sepolia,testnet,normal,eth_transfer,success,0,,0x593483F19Bd38Adb051afB90A79cce45C21dA6A5,,100000,0,2026-09-09T06:19:39.731Z,,,0xc3c2b57d13682130ae87abb347a97ee36a0cfc852268b5f21db91acc42c1f2bf,42086d5e0435324c2c5533531fdfccdf8f2d116a,0.1.0,,1788934779,wall,observed,0,,1788934779,wall,observed,0,,,,,,,,,,,,,,,,,,,,,48566121,1788934782,l2_block,observed,0,48566121,1788934782,l2_block,observed,0,,,,,,,,,,,,,,,3,1,2,1,,,21005250000,18335340879,,39340590879,,39340590879,0,,,,21000,,,,,,,,,,,5.6.1,on-chain,43200,rollup-config,,
